Date publication;Type de publication;Titre;Libellé recommandation;Destinataire 1;Destinataire 2;Destinataire 3
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Rationaliser la programmation par un effort
d'évaluation des manifestations passées, une vision stratégique pluriannuelle
et un travail en équipe des différents services concernés, musée et IFA
notamment.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"S'appuyer sur la création prochaine d'un
responsable des éditions pour définir une politique éditoriale transversale,
cohérente et sélective et mettre en place un contrôle de gestion sur les
publications, comme sur l'activité internationale de l'établissement.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Arrêter, en concertation avec le service
interministériel des archives et dans les conditions nouvelles résultant du
sinistre ayant affecté le dépôt de Fontainebleau, un échéancier de
reversement des fonds confiés aux archives de l'IFA et mieux mettre en valeur
celles-ci au sein du circuit muséographique.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Renforcer la coopération de l'École de Chaillot avec
les écoles nationales d'architecture, veiller aux conditions de succès de ses
étudiants au diplôme spécialisé d'architecture, et redéfinir les formations
destinées aux maîtres d'ouvrage publics à partir d'une étude des besoins ;
développer le parcours doctoral de l'École de Chaillot, en s'appuyant sur la
connaissance du patrimoine comme approche spécifique de l'architecture
contemporaine.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Renforcer le rôle d'orientation et de contrôle du
conseil d'administration en adoptant un rythme de réunions plus soutenu ;
réaffirmer son rôle en matière de gestion de personnel.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"S'adapter aux perspectives budgétaires plus
contraintes (modification de l'équilibre entre les concours de l'État et les
recettes propres) et adopter un plan d'économies de préférence à la
systématisation de prélèvements sur le fonds de roulement.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Soumettre au conseil d'administration des règles
précisant le type de partenaires susceptibles de bénéficier de la mise à
disposition commerciale des espaces de la Cité.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Préparer le renouvellement des concessions
commerciales à partir d'une évaluation réaliste des possibilités économiques
et d'une définition circonstanciée des services attendus, en termes de variété
d'offre pour la boutique et la librairie, d'efficacité et de qualité pour le
restaurant.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Faire de la conclusion d'un accord d'entreprise
global un objectif prioritaire devant aboutir en 2015.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Développer les pratiques de fixation d'objectifs
individuels et d'évaluation des agents pour permettre un dispositif de
rémunération au mérite qui soit plus transparent et juridiquement mieux
fondé ; mieux encadrer le système d'attribution des heures supplémentaires
aux agents et à certains cadres.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Conduire d'ici 2016 une étude des difficultés
rencontrées dans la mise en oeuvre des deux contrats multiservices et établir
une comparaison des avantages et des inconvénients de leur renouvellement
à l'identique par rapport à une gestion en lots séparés.";Cité de l'architecture et du patrimoine; ; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Modifier le décret constitutif consacrant la refonte
des départements, la réorganisation de la représentation du ministère de la
culture et du ministère de l'économie et des finances au conseil
d'administration et l'attribution à l'établissement de la responsabilité domaniale
sur l'ensemble du palais de Chaillot ; acter dans une prochaine loi de finances
les incidences de cette dernière mesure en termes de budget et de plafond
d'emploi.";Ministère chargé de la Culture et de la Communication;Cité de l'architecture et du patrimoine; 
16/04/2015;Rapport des comptes et de la gestion;Rapport particulier sur l'activité, la gestion et les comptes de la Cité de l'architecture et du patrimoine (CAPA);"Opérer les ajustements nécessaires en matière
budgétaire et de plafond d'emplois au transfert à la CAPA de la gestion de la
totalité du bâtiment du palais de Chaillot et inscrire cette mesure de
rationalisation dans la perspective d'une valorisation culturelle et touristique
commune pour l'ensemble du site du Trocadéro.";Ministère chargé de la Culture et de la Communication;Cité de l'architecture et du patrimoine; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Procéder à une révision du décret statutaire dans le cadre d'une refonte générale des statuts des cinq théâtres nationaux;Ministère chargé de la Culture et de la Communication;Théâtre national de l'Odéon; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Conclure un contrat de performance couvrant le triennal 2015-2017, en cohérence avec la lettre de mission adressée au directeur, comportant des objectifs chiffrés visant à une meilleure articulation de la programmation et des activités avec l'équilibre économique de l'établissement.;Ministère chargé de la Culture et de la Communication;Théâtre national de l'Odéon; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Assurer une exploitation financièrement plus soutenable des Ateliers Berthier (notamment par la mutualisation avec d'autres institutions théâtrales) et subordonner les évolutions éventuelles du site à des études démontrant précisément la viabilité financière des projets envisagés, tant en termes d'investissement que de fonctionnement.;Ministère chargé de la Culture et de la Communication;Théâtre national de l'Odéon; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Réviser la politique tarifaire de façon à augmenter la recette moyenne par fauteuil payant (niveau et proportion du plein tarif, proportion des abonnements, modulation en fonction des coûts de production) et réduire le nombre des invitations.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Mettre fin aux activités artistiques complémentaires déficitaires.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Conlcure des contrats avec les coproducteurs des activités annexes (radios, presse, éditeurs), spécifiant le rôle et les apports de chacun.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Conclure un contrat de travail avec l'administrateur du théâtre.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Valoriser les billets octroyés contractuellement aux comédiens.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Revoir complètement le système des régies de recettes et d'avances  afin de respecter les dispositions réglementaires.;Théâtre national de l'Odéon; ; 
03/12/2015;Rapport des comptes et de la gestion;Théâtre national de l'Odéon - Théâtre de l'Europe;Mettre en place un inventaire physique et comptable.;Théâtre national de l'Odéon; ; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement ORLY-RUNGIS-SEINE AMONT (EPA ORSA);Définir pour les années à venir une stratégie de développement de l'établissement, dans le contexte d'une pluralité d'aménageurs publics, ou, à défaut, envisager le transfert des missions de l'EPA ORSA à un ou plusieurs autres établissements;Ministère chargé de l'Aménagement du territoire;Etablissement public d'aménagement Orly-Rungis-Seine Amont; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement ORLY-RUNGIS-SEINE AMONT (EPA ORSA);Mettre en oeuvre, dès 2015, des mesures destinées à faire face au besoin de financement croissant de l'EPA ORSA jusqu'en 2023, tant pour le financement des 5 ZAC, que pour honorer le remboursement du portage financier assuré par l'EPF Île-de-France depuis 2009, ces mesures devant porter à la fois sur le niveau adéquat des fonds propres et sur les conditions de recours à l'emprunt, ou toute autre hypothèse;Ministère chargé de l'Aménagement du territoire;Grand Paris Aménagement; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement ORLY-RUNGIS-SEINE AMONT (EPA ORSA);Assurer le suivi et la restitution des indicateurs mis en place par la charte de développement durable du territoire;Etablissement public d'aménagement Orly-Rungis-Seine Amont;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement ORLY-RUNGIS-SEINE AMONT (EPA ORSA);Réorganiser le service de la commande publique et en sécuriser les procédures;Etablissement public d'aménagement Orly-Rungis-Seine Amont;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement ORLY-RUNGIS-SEINE AMONT (EPA ORSA);Veiller au respect des délais réglementaires d'approbation des EPRD;Etablissement public d'aménagement Orly-Rungis-Seine Amont;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Définir une stratégie, en clarifiant le rôle que l'État entend faire jouer à l'EPA Plaine de France, compte tenu de la multiplicité des acteurs qui interviennent sur son territoire;Ministère chargé de l'Aménagement du territoire; ; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Intervenir auprès de l'Agence d'aménagement de la région parisienne (AFTRP) pour le versement du reliquat de l'avance restant dû (2,5 M?);Ministère chargé de l'Aménagement du territoire; ; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Formaliser la programmation et le suivi de l'activité d'études;Grand Paris Aménagement;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Développer les opérations d'aménagement emblématiques sur le modèle de Louvres-Puiseux;Grand Paris Aménagement;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Mettre en place un contrôle interne et une cartographie des risques;Grand Paris Aménagement;Ministère chargé de l'Aménagement du territoire; 
15/04/2015;Rapport des comptes et de la gestion;Établissement public d'aménagement Plaine de France (EPA Plaine de France);Améliorer la qualité comptable;Grand Paris Aménagement;Ministère chargé de l'Aménagement du territoire; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;donner instructionn aux préfets de désigner un chef de file opérationnel au sein des services de l'Etat, qui doit être l'interlocuteur unique de l'entreprise;Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;"fixer le démarrage du délai de négociation de six mois à partir de la date de la notification de l'assujettissement et non à partir de l'homologation du  plan de sauvegarde de l'emploi ;";Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;"rendre obligatoire un socle partagé d'indicateurs de suivi pour les conventions ;";Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;"imposer le bilan type défini par le guide méthodologique ;";Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;"prescrire un référentiel pour encadrer la part des fonds des conventions affectée à la rémunération des prestataires ;";Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;identifier et diffuser les bonnes pratiques des prestataires;Ministère chargé du travail et de l'emploi; ; 
16/12/2015;Rapport effectué pour le Parlement;Bilan des conventions de revitalisation;présenter, dans le guide méthodologique, les structures juridiques permettant de sécuriser jurididiquement et financièrement  la mutualisation des fonds de revitalisation.;Ministère chargé du travail et de l'emploi; ; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Promouvoir activement la mise en oeuvre des recommandations formulées par la Cour des comptes européenne sur l'application du régime douanier 42 non encore appliquées (MAEDI/AE. SGAE).;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Favoriser la mise en place au niveau communautaire d'un système d'information permettant de vérifier la cohérence des déclarations d'échanges de biens effectuées dans les divers états membres (MAEDI/AE. SGAE).;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;"Obtenir un accès direct aux informations relatives aux marchandises destinées au territoire français introduites dans un autre Etat membre (déclarations ECS-ICS) (MAEDI/AE; SGAE).";Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Pour la comptabilisation des résultats de saisies de stupéfiants, se conformer aux règles de l'Office central pour la répression du trafic illicite ddes stupéfiants (OCRTIS) pour les saisies effectuées sur le territoire national et consolider la méthode de présentation des saisies résultant d'opérations réalisées à l'étranger.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Publier dans le RAP du programme 302 le volume et la valeur des biens faisant l'objet de destructions et le coût de ces opérations (y compris le stockage préalable) ainsi que le montant des droits redressés effectivement recouvrés.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Dans l'attente d'une réorganisation d'ensemble de l'action de l'Etat en mer, appliquer un moratoire sur l'acquisition de nouveaux moyens navals et aériens.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Conformément aux orientations du Projet stratégique Douane 2018, resserer le maillage de la surveillance terrestre autour de brigades suffisamment étoffées pour être opérationnelles et localisées sur les points représentant les enjeux prioritaires.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Confier aux directions interrégionales la programmation et le pilotage des contrôles.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Renforcer les moyens d'automatisation du ciblage des contrôles, en conférant un haut degré de priorité à la mise en place du service d'analyse de risque et de ciblage.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Dans les aéroports parisiens et dans la surveillance maritime et aériennes, revoir le régime de travail afin de répondre aux nécessités du service.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;"Donner la priorité dans les investissements à la mise à niveau des moyens informatiques; fiabiliser et mieix intégrer les systèmes d'information douaniers coucourant à la lutte contre les fraudes et trafics.";Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Assurer un accès direct réciproque des agents de la DGFIP et de la DGDDI aux bases de données de chaque direction (Budget/DGFIP) pour l'exercice des missions propres de chacune d'entre elles.;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
19/02/2015;Rapport effectué pour le Parlement;L'action de la douane dans la lutte contre les fraudes et les trafics;Retirer à la Douane les missions de contrôle des PPF portuaires ne présentant pas d'enjeux en terme de lutte contre les fraudes et trafics, et réallouer en conséquence les moyens entre les administrations concernées (Intérieur).;Ministère chargé de l'Économie et des Finances;Ministère chargé de l'Économie et des Finances; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Fusionner les procédures d'allocation des moyens et de définition des objectifs des universités dans un cadre contractuel unique;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;"Mettre en conformité la circulaire du ministère de l'éducation nationale relative aux obligations de service des personnels BIATSS avec le décret relatif à l'ARTT dans la fonction publique ;";Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;"Poursuivre la simplification des cadres statutaires des personnels administratifs et techniques et harmoniser les modalités de gestion des différents corps ;";Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Clarifier et simplifier les régimes indemnitaires,  notamment en vue de la mise en ?uvre du régime indemnitaire tenant compte des fonctions, des sujétions, de l'expertise et de l'engagement professionnel (RIFSEEP);Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Faciliter la mise en ?uvre des dispositifs d'intéressement, en précisant le cadre d'utilisation de l'article L. 954-2 du code de l'éducation;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Prévoir un plan de financement dans le plan pluriannuel d'investissement, et l'intégrer dans le cadre contractuel unique;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Améliorer le fonctionnement des conseils d'administration  notamment en les dotant de comités spécialisés, en particulier d'audit, créés en leur sein;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Au sein des universités, développer les contrats d'objectifs et de moyens avec les composantes;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Assurer un contrôle effectif du respect des obligations de service des enseignants chercheurs et mettre en oeuvre le suivi de carrière;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Renforcer la dimension stratégique de la politique immobilière des universités par sa présentation régulière devant le conseil d'administration, la création de budgets annexes spécifiques et l'élaboration d'indicateurs pertinents;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Fixer des règles prudentielles de gestion adaptées aux contraintes réelles des universités;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Rendre prioritaire la mise à niveau des systèmes d'information universitaires;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
01/06/2015;Rapport effectué pour le Parlement;L'autonomie financière des universités, une réforme à poursuivre;Définir désormais la stratégie immobilière dans le cadre de la politique de site;Ministère chargé de l'Enseignement supérieur et de la Recherche; ; 
14/10/2015;Rapport effectué pour le Parlement;Le crédit immobilier de France (CIF);Soumettre au Parlement l'adoption d'une disposition législative interdisant le versement d'indemnités de départ aux mandataires sociaux et dirigeants effectifs d'un établissement financier bénéficiant d'un concours financier public exceptionnel, rendu nécessaire pour éviter sa défaillance.;Ministère chargé de l'Économie et des Finances; ; 
14/10/2015;Rapport effectué pour le Parlement;Le crédit immobilier de France (CIF);"Poursuivre le processus de résolution engagé conformément au plan agréé par la Commission européenne dans les conditions et le calendrier prévus et, en particulier:
- achever sans délai le chantier de la transparence sur les risques (CIF);
- poursuivre les opérations de fusion juridique des SFR avec CIFD et prendre les mesures d'organisation nécessaires à une gestion opérationnelle centralisée (CIF);
- fixer à l'avance les dates de fermeture des plates-formes de gestion afin d'assurer la bonne mise en oeuvre des plans de sauvegarde de l'emploi (CIF);
- diminuer le montant de l'encours de la garantie interne en procédant à la réorganisation des filiales financières (CIF, DG Trésor);
- stabiliser la représentation de l'Etat au sein du Conseil d'administration de CIFD (DG Trésor).";Ministère chargé de l'Économie et des Finances; ; 
14/10/2015;Rapport effectué pour le Parlement;Le crédit immobilier de France (CIF);Engager la renégociation de la convention entre l'Etat et les SACICAP afin de redéfinir le contenu des missions sociales et leurs modalités de financement.;Ministère chargé de l'Économie et des Finances; ; 
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Fiabiliser l'estimation du non-recours à l'ACS, étendre aux départements d'outre-mer l'estimation du non-recours à la CMU-C et à l'ACS et éclairer par des études périodiques les motifs de non-recours à ces dispositifs.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;"Favoriser le recours à la CMU-C et à l'ACS en interrogeant les fichiers des administrations sur un champ élargi, en assurant le recueil exhaustif des demandes de CMU-C lors de l'instruction des demandes de RSA et en rendant obligatoire l'engagement par les caisses
d'assurance maladie d'une démarche systématique de promotion de la CMU-C et de l'ACS auprès des publics concernés.";Ministère chargé de la Santé et des affaires sociales; ;UNCAM/CNAMTS
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Assurer l'effectivité des tarifs opposables aux professionnels de santé pour les titulaires de la CMU-C et de l'ACS, en prenant les textes réglementaires nécessaires à l'application des dispositions de la loi du 21 juillet 2009 portant réforme de l'hôpital et relative aux patients, à la santé et aux territoires qui sanctionnent les refus de soins.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;UNCAM/CNAMTS
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Apprécier de manière périodique l'étendue des refus de soins opposés aux titulaires de la CMU-C et de l'ACS.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;"Réexaminer le versement d'aides complémentaires à l'ACS (« compléments ACS ») par les caisses d'assurance maladie, eu égard à la réduction du prix des garanties financées par l'ACS
permise par la sélection des contrats d'assurance éligibles à cette aide.";Ministère chargé de la Santé et des affaires sociales; ;UNCAM/CNAMTS
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Refondre le processus d'instruction des demandes de CMU-C et d'ACS, en mettant en place un nouvel outil informatique et en exploitant les possibilités offertes par la déclaration sociale nominative (DSN) et par la mutualisation généralisée de l'information relative aux prestations sociales dans le cadre du répertoire national commun de la protection sociale (RNCPS).;Ministère chargé de la Santé et des affaires sociales; ;UNCAM/CNAMTS
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Engager au plan national une politique active de lutte contre la sous-déclaration des ressources, élargir les vérifications auprès de la DGFiP et des établissements financiers et évaluer  l'incidence financière des irrégularités détectées.;Ministère chargé de la Santé et des affaires sociales; ;UNCAM/CNAMTS
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Doter le Fonds CMU-C de pouvoirs de contrôle des dépenses réelles exposées par l'ensemble des organismes gestionnaires au titre de la CMU-C.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Faire prendre en charge par l'URSSAF l'ensemble des fonctions de recouvrement de la taxe de solidarité additionnelle affectée au Fonds CMU-C.;Ministère chargé de la Santé et des affaires sociales; ; 
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;"En fonction de la réalisation des risques de déséquilibre financier, envisager l'harmonisation des ressources prises en compte pour attribuer la CMU-C et l'ACS avec celles intégrées au seuil de pauvreté monétaire, ainsi que l'alignement du plafond de l'ACS
sur ce dernier.";Ministère chargé de la Santé et des affaires sociales; ; 
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Objectiver par des études nationales périodiques les incidences de la CMU-C et de l'ACS sur l'état de santé de leurs bénéficiaires et analyser les déterminants du niveau et de l'évolution des dépenses de santé de ces derniers par comparaison avec les autres assurés sociaux.;Ministère chargé de la Santé et des affaires sociales;UNCAM/CNAMTS;Fonds de financement de la protection complémentaire de la couverture universelle
25/05/2015;Rapport effectué pour le Parlement;Le fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Dans l'éventualité où les études à mener feraient apparaître une surconsommation de soins gratuits, mettre en oeuvre des actions de gestion du risque ciblées sur les postes de dépense concernés et examiner l'éventualité d'une redéfinition des prises en charge au titre de la CMU-C et de l'ACS.;Ministère chargé de la Santé et des affaires sociales;Ministère chargé de la Santé et des affaires sociales; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Renforcer le suivi budgétaire et comptable des dépenses de conseil par les secrétaires généraux et les CBCM, notamment grâce à la nouvelle nomenclature des achats.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Veiller au renouvellement et à la diversification des prestataires de conseil.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Formaliser, dans chaque ministère, sous l'égide du secrétariat  général du gouvernement, des doctrines de recours aux conseils extérieurs et, pour chaque domaine, des guides de bonnes pratiques pilotés par une administration chef de file.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Créer des outils de recensement des expertises disponibles au sein de l'Etat et mettre en réseau les services de conseil internes et les corps d'inspection et de contrôle.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Développer l'intervention d'équipes mixtes de conseil, constituées des corps d'inspection ou des équipes internes d'experts et de consultants.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Utiliser davantage les possibilités, prévues par le code des marchés publics, de dialogue avec les candidats dans la phase de passation du marché afin de s'assurer de l'adéquation des offres aux besoins.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Renforcer, sous l'égide du secrétariat général du Gouvernement, les règles relatives à la déontologie et à la prévention des conflits d'intérêts en systématisant, dans chaque ministère, les chartes de déontologie et en y incluant des dispositions sur les rapports avec les conseils extérieurs.;Premier Ministre; ; 
12/03/2015;Rapport effectué pour le Parlement;Le recours par l'Etat aux conseils extérieurs;Recourir à la tarification à la performance chaque fois que les résultats attendus de l'intervention des conseils extérieurs sont clairement identifiés et attribuables à leur action.;Premier Ministre; ; 
