"publication";"titre";"destination"
"286";"RPT";"deconcentrés etat services";"Ministère chargé de l'Économie et des Finances"
"287";"RPT";"deconcentrés etat services";"Ministère chargé de l'Écologie et du développement durable"
"288";"RPT";"deconcentrés etat services";"Ministère chargé du Budget et des comptes publics"
"289";"Rapport des comptes et de la gestion";"grand maritime marseille port";"Grand port maritime de Marseille"
"290";"Rapport des comptes et de la gestion";"avenir bilan caffil clarifications nécessaires nuance sfil";"Société de financement local"
"291";"Rapport des comptes et de la gestion";"avenir bilan caffil clarifications nécessaires nuance sfil";"Agence des participations de l'Etat"
"292";"Rapport des comptes et de la gestion";"actionnaire etat";"Ministère chargé de l'Économie et des Finances"
"293";"Rapport des comptes et de la gestion";"actionnaire etat";"Caisse des dépôts et consignations"
"294";"Rapport des comptes et de la gestion";"actionnaire etat";"Ministère chargé de la Culture et de la Communication"
"295";"Rapport des comptes et de la gestion";"actionnaire etat";"Premier Ministre"
"296";"Rapport effectué pour le Parlement";"administratives autorites indépendantes politiques pratiques publiques rémunération";"Premier Ministre"
"297";"Rapport effectué pour le Parlement";"police scientifique technique";"Ministère de l'Intérieur"
"298";"Rapport effectué pour le Parlement";"dgfip directe fiscalite gestion locale";"Ministère chargé de l'Économie et des Finances"
"299";"Rapport effectué pour le Parlement";"achats hospitaliers";"Ministère chargé de la Santé et des affaires sociales"
"300";"Rapport effectué pour le Parlement";"achats hospitaliers";" "
"301";"Rapport effectué pour le Parlement";"ambition archives commission communication finances moyens nationales nouvelle senat voies";"Ministère chargé de la Culture et de la Communication"
"302";"Rapport effectué pour le Parlement";"bancaire faveur inclusion politiques prevention publiques surendettement";"Banque de France"
"303";"Rapport effectué pour le Parlement";"bancaire faveur inclusion politiques prevention publiques surendettement";"Ministère chargé de l'Économie et des Finances"
"304";"Rapport effectué pour le Parlement";"bancaire faveur inclusion politiques prevention publiques surendettement";"Banque postale"
"305";"Rapport effectué pour le Parlement";"bancaire faveur inclusion politiques prevention publiques surendettement";"Ministère chargé de la Santé et des affaires sociales"
"306";"Référé";"civi conseil pol";"Premier Ministre"
"307";"Référé";"associations départementales familiales nationale reseau unaf union unions";"Ministère chargé de la Santé et des affaires sociales"
"308";"Référé";"administration centrale mer ministère outre";"Ministère chargé de l'Outre-mer"
"309";"Référé";"elections établis français france hors organisation";"Ministère chargé des affaires étrangères et européennes"
"310";"Référé";"affaires développement etrangères gestion humaines international ministère ressources";"Ministère chargé des affaires étrangères et européennes"
"311";"Référé";"droit logement mise oeuvre opposable";"Ministère chargé du logement"
"312";"Référé";"financières gestion taxe transactions";"Ministère chargé de l'Économie et des Finances"
"313";"Référé";"cif conge formation individuel";"Ministère chargé du travail et de l'emploi"
"314";"Référé";"degres dispositif enseignants premier remplacement second";"Ministère chargé de l'Éducation nationale"
"315";"Référé";"epargne fonds";"Ministère chargé de l'Économie et des Finances"
"316";"Référé";"education enseignement gestion humaines information ministère nationale programme recherche ressources sirhen supérieur système";"Ministère chargé de l'Éducation nationale"
"317";"Référé";"caisse consignations dép depenses établissement fonctionnement public";"Caisse des dépôts et consignations"
"318";"Référé";"caisse consignations dép depenses établissement fonctionnement public";"Ministère chargé de l'Économie et des Finances"
"319";"Référé";"depenses faveur fiscales logement social";"Ministère chargé du Budget et des comptes publics"
"320";"Référé";"departements justice mer ministère outre services";"Garde des Sceaux"
"321";"Référé";"defense financières loi militaire mise mission oeuvre perspectives programmation";"Ministère chargé de la Défense et des anciens combattants"
"322";"Référé";"contre dérives exercices interministerielle lutte mission miviludes sectaires vigilance";"Premier Ministre"
"323";"RPA T1";"amplifier etat modernisation numerique";"Premier Ministre"
"324";"RPA T1";"politique vaccinale";"Ministère chargé de la Santé et des affaires sociales"
"325";"RPA T1";"balard opérationnelle pilotage projet renforcer reussite";"Ministère chargé de la Défense et des anciens combattants"
"326";"RPA T1";"activites privées sécurité";"Ministère de l'Intérieur"
"327";"RPA T1";"activites privées sécurité";" "
"328";"RPA T2";"autonomie caisse nationale solidarite";"Ministère chargé de la Santé et des affaires sociales"
"329";"RPA T2";"dette pitaux";"Ministère chargé de la Santé et des affaires sociales"
"330";"RPA T2";"amendes circulation gestion";"Ministère de l'Intérieur"
"331";"RPA T2";"amendes circulation gestion";" "
"332";"RPA T2";"aidees contrats insertion mise nécessaire objectif oeuvre professionnelle recentrage";"Ministère chargé du travail et de l'emploi"
"333";"RPA T2";"numeriques publics santé services";"Ministère chargé de la Santé et des affaires sociales"
"334";"RPA T2";"contre cotisations fraude lutte sociales";"Ministère chargé de la Santé et des affaires sociales"
"335";"Rapport effectué pour le Parlement";"autisme direction personnes politique presentant spectre troubles";"Ministère chargé de la Santé et des affaires sociales"
"336";"Rapport effectué pour le Parlement";"autisme direction personnes politique presentant spectre troubles";"Ministère chargé de l'Éducation nationale"
"337";"Rapport effectué pour le Parlement";"chu enseignement médicale recherche superieur";"Ministère chargé de la Santé et des affaires sociales"
"338";"Référé";"agefip aide fiphfp handicapees insertion personnes professionnelle";"Premier Ministre"
"339";"Référé";"action cgos comite établissements gestion hospitalière hospitaliers publics sociale sociales uvres";"Ministère chargé de la Santé et des affaires sociales"
"340";"Référé";"action cgos comite établissements gestion hospitalière hospitaliers publics sociale sociales uvres";"Ministère chargé de l'Économie et des Finances"
"341";"Référé";"decote dispositif faveur foncier logement public social";"Ministère chargé du logement"
"342";"Référé";"gendarmerie nationales police remunérations temps travail";"Ministère de l'Intérieur"
